id,entity_metadata_id,name,title,display,read_only,required,default_value,priority
Activity_campaign,Activity,campaign,Kampanya,false,false,false,null,160
Activity_checkInLatitude,Activity,checkInLatitude,Giriş Enlem,false,true,false,null,110
Activity_checkInLongitude,Activity,checkInLongitude,Giriş Boylam,false,true,false,null,120
Activity_checkInTime,Activity,checkInTime,Giriş Zamanı,true,true,false,null,90
Activity_checkOutLatitude,Activity,checkOutLatitude,Çıkış Enlem,false,true,false,null,130
Activity_checkOutLongitude,Activity,checkOutLongitude,Çıkış Boylam,false,true,false,null,140
Activity_checkOutTime,Activity,checkOutTime,Çıkış Zamanı,true,true,false,null,100
Activity_contact,Activity,contact,Görüşülen Kişi,true,false,false,null,35
Activity_createdBy,Activity,createdBy,Oluşturan,false,true,false,null,9990
Activity_createdDate,Activity,createdDate,Oluşturulma Tarihi,false,true,false,null,9991
Activity_customer,Activity,customer,Müşteri,true,false,true,null,30
Activity_customerStatus,Activity,customerStatus,Müşteri Durum,true,true,false,null,160
Activity_description,Activity,description,Açıklama,false,false,false,null,2147483647
Activity_id,Activity,id,Id,false,true,false,null,-2147483648
Activity_instanceName,Activity,instanceName,Başlık,false,true,false,null,2147483647
Activity_lastModifiedBy,Activity,lastModifiedBy,Son Düzenleyen,false,true,false,null,9992
Activity_lastModifiedDate,Activity,lastModifiedDate,Son Düzenlenme Tarihi,false,true,false,null,9993
Activity_owner,Activity,owner,Aktivite Sahibi,true,false,false,null,20
Activity_participants,Activity,participants,Katılımcılar,false,false,false,null,150
Activity_plannedEndTime,Activity,plannedEndTime,Planlanan Bitiş Zamanı,false,true,false,null,80
Activity_plannedStartTime,Activity,plannedStartTime,Planlanan Başlangıç Zamanı,false,true,false,null,70
Activity_reason,Activity,reason,Neden,false,true,true,Akt_Ned_Satış,50
Activity_status,Activity,status,Durum,true,false,true,Akt_Dur_Yeni,60
Activity_subject,Activity,subject,Konu,false,true,false,null,10
Activity_task,Activity,task,Görev,false,false,false,null,80
Activity_type,Activity,type,Konu,true,false,true,Akt_Tip_Firma_Ziyareti,10
Address_city,Address,city,İl,true,false,true,null,40
Address_country,Address,country,Ülke,false,false,false,null,30
Address_createdBy,Address,createdBy,Oluşturan,false,true,false,null,9990
Address_createdDate,Address,createdDate,Oluşturulma Tarihi,false,true,false,null,9991
Address_customer,Address,customer,Müşteri,true,false,true,null,90
Address_detail,Address,detail,Adres Satırı,false,false,true,null,80
Address_district,Address,district,İlçe,true,false,true,null,50
Address_id,Address,id,Id,false,true,false,null,-2147483648
Address_instanceName,Address,instanceName,Başlık,false,true,false,null,2147483647
Address_lastModifiedBy,Address,lastModifiedBy,Son Düzenleyen,false,true,false,null,9992
Address_lastModifiedDate,Address,lastModifiedDate,Son Düzenlenme Tarihi,false,true,false,null,9993
Address_latitude,Address,latitude,Enlem,false,false,false,null,60
Address_longitude,Address,longitude,Boylam,false,false,false,null,70
Address_name,Address,name,Adres Başlığı,true,false,true,null,10
Announcement_active,Announcement,active,Aktif,true,false,false,null,20
Announcement_createdBy,Announcement,createdBy,Oluşturan,false,true,false,null,9990
Announcement_createdDate,Announcement,createdDate,Oluşturulma Tarihi,false,true,false,null,9991
Announcement_description,Announcement,description,Açıklama,false,false,false,null,40
Announcement_id,Announcement,id,Id,false,true,false,null,-2147483648
Announcement_instanceName,Announcement,instanceName,Başlık,false,true,false,null,2147483647
Announcement_lastModifiedBy,Announcement,lastModifiedBy,Son Düzenleyen,false,true,false,null,9992
Announcement_lastModifiedDate,Announcement,lastModifiedDate,Son Düzenlenme Tarihi,false,true,false,null,9993
Announcement_title,Announcement,title,Başlık,true,false,true,null,10
Announcement_type,Announcement,type,Tip,true,false,true,null,30
AttributeValue_attribute,AttributeValue,attribute,Değişken Adı,true,false,true,null,20
AttributeValue_id,AttributeValue,id,Id,false,true,false,null,-2147483648
AttributeValue_instanceName,AttributeValue,instanceName,Başlık,false,true,false,null,2147483647
AttributeValue_isStatic,AttributeValue,isStatic,Statik,true,false,true,null,30
AttributeValue_label,AttributeValue,label,Etiket,true,false,true,null,10
AttributeValue_weight,AttributeValue,weight,Ağırlık,true,false,true,null,40
Attribute_fieldName,Attribute,fieldName,Alan Adı,true,true,true,null,20
Attribute_id,Attribute,id,Id,false,true,false,null,-2147483648
Attribute_instanceName,Attribute,instanceName,Başlık,false,true,false,null,2147483647
Attribute_objectName,Attribute,objectName,Nesne Adı,true,true,true,null,10
Campaign_budget,Campaign,budget,Bütçe,false,false,false,null,52
Campaign_createdBy,Campaign,createdBy,Oluşturan,false,true,false,null,9990
Campaign_createdDate,Campaign,createdDate,Oluşturulma Tarihi,false,true,false,null,9991
Campaign_description,Campaign,description,Açıklama,false,false,false,null,53
Campaign_endDate,Campaign,endDate,Bitiş Tarihi,true,false,false,null,30
Campaign_expectedRevenue,Campaign,expectedRevenue,Beklenen Gelir,false,false,false,null,51
Campaign_id,Campaign,id,Id,false,true,false,null,-2147483648
Campaign_instanceName,Campaign,instanceName,Başlık,false,true,false,null,2147483647
Campaign_lastModifiedBy,Campaign,lastModifiedBy,Son Düzenleyen,false,true,false,null,9992
Campaign_lastModifiedDate,Campaign,lastModifiedDate,Son Düzenlenme Tarihi,false,true,false,null,9993
Campaign_name,Campaign,name,Kampanya İsmi,true,false,true,null,10
Campaign_startDate,Campaign,startDate,Başlangıç Tarihi,true,false,false,null,20
Campaign_status,Campaign,status,Durum,true,false,true,Kam_Dur_Aktif,40
City_country,City,country,Ülke,true,false,true,null,20
City_createdBy,City,createdBy,Oluşturan,false,true,false,null,9990
City_createdDate,City,createdDate,Oluşturulma Tarihi,false,true,false,null,9991
City_id,City,id,Id,false,true,false,null,-2147483648
City_instanceName,City,instanceName,Başlık,false,true,false,null,1
City_lastModifiedBy,City,lastModifiedBy,Son Düzenleyen,false,true,false,null,9992
City_lastModifiedDate,City,lastModifiedDate,Son Düzenlenme Tarihi,false,true,false,null,9993
City_name,City,name,Şehir İsmi,true,false,true,null,10
Configuration_createdBy,Configuration,createdBy,Oluşturan,false,true,false,null,9990
Configuration_createdDate,Configuration,createdDate,Oluşturulma Tarihi,false,true,false,null,9991
Configuration_id,Configuration,id,Id,false,true,false,null,-2147483648
Configuration_instanceName,Configuration,instanceName,Başlık,false,true,false,null,2147483647
Configuration_lastModifiedBy,Configuration,lastModifiedBy,Son Düzenleyen,false,true,false,null,9992
Configuration_lastModifiedDate,Configuration,lastModifiedDate,Son Düzenlenme Tarihi,false,true,false,null,9993
Configuration_name,Configuration,name,İsim,true,true,true,null,10
Configuration_storedValue,Configuration,storedValue,Değer,true,true,false,null,30
Configuration_value,Configuration,value,Değer,false,false,true,null,2147483647
Configuration_valueType,Configuration,valueType,Tip,true,true,true,null,20
Contact_active,Contact,active,Aktif,false,false,false,null,50
Contact_createdBy,Contact,createdBy,Oluşturan,false,true,false,null,9990
Contact_createdDate,Contact,createdDate,Oluşturulma Tarihi,false,true,false,null,9991
Contact_customer,Contact,customer,Müşteri,true,false,false,null,30
Contact_description,Contact,description,Açıklama,false,false,false,null,60
Contact_email,Contact,email,Mail,true,false,false,null,40
Contact_firstName,Contact,firstName,Ad,true,false,true,null,10
Contact_id,Contact,id,Id,false,true,false,null,-2147483648
Contact_instanceName,Contact,instanceName,Başlık,false,true,false,null,2147483647
Contact_lastModifiedBy,Contact,lastModifiedBy,Son Düzenleyen,false,true,false,null,9992
Contact_lastModifiedDate,Contact,lastModifiedDate,Son Düzenlenme Tarihi,false,true,false,null,9993
Contact_lastName,Contact,lastName,Soyad,true,false,false,null,20
